CSV header = STEP, Function, Result, Min, Value, Max, Unit
0004,저저항 측정,,406.59,,467.8,Ω
0004,절연저항 측정(500V),,3000,,,Ω
0005,내전압 측정,, ,,3,mA
0006,방전 후 초기화,,,,,
