CSV header = STEP, Function, Result, Min, Value, Max, Unit
0004,W상 (100A) 센싱전압 측정,,2.66,,2.74,V
0004,W상 (-100A) 센싱전압 측정,,2.26,,2.34,V
0004,W상 (0A) 센싱전압 측정,,2.48,,2.52,V
0004,W상 소비 전류 측정,,,,15,mA
0004,U상 (100A) 센싱전압 측정,,2.66,,2.74,V
0004,U상 (-100A) 센싱전압 측정,,2.26,,2.34,V
0004,U상 (0A) 센싱전압 측정,,2.48,,2.52,V
0004,U상 소비 전류 측정,,,,15,mA
